,number_of_flowers,number_of_patches,density_of_patches,average NN distance
0,25,5,0.1,4.001612541578724
1,25,5,0.01,7.358008409648936
2,25,5,0.001,18.157603950716318
3,25,5,0.0001,51.3799614519387
4,25,5,1e-05,139.68986881807655
5,25,5,1e-06,306.638147247696
6,25,5,1e-07,794.2623870917618
